,Unnamed: 0,iata_code,name,coordinates,iso_region,average_wait,max_wait,min_wait,obs_count
25,4702,GDH,Golden Horn Lodge Seaplane Base,"-158.875, 59.7470016479",US-AK,na,na,na,na
26,5163,ATT,Atmautluak Airport,"-162.272995, 60.866699",US-AK,na,na,na,na
27,5166,LIV,Livengood Camp Airport,"-148.6534, 65.467",US-AK,na,na,na,na
28,5335,PDB,Pedro Bay Airport,"-154.12399292, 59.7896003723",US-AK,na,na,na,na
29,5336,KOZ,Ouzinkie Airport,"-152.496715, 57.925362",US-AK,na,na,na,na
30,5337,TNK,Tununak Airport,"-165.27200317383, 60.575500488281",US-AK,na,na,na,na
31,5591,EVA,Ben Bruce Memorial Airpark,"-94.07350158690001, 30.3209991455",US-TX,na,na,na,na
32,5693,WHD,Hyder Seaplane Base,"-130.009975, 55.903324",US-AK,na,na,na,na
33,6013,TKI,Tokeen Seaplane Base,"-133.32699585, 55.9370994568",US-AK,na,na,na,na
34,6146,WKK,Aleknagik / New Airport,"-158.617996216, 59.2826004028",US-AK,na,na,na,na
35,6339,WFB,Ketchikan Harbor Seaplane Base,"-131.677002, 55.349899",US-AK,na,na,na,na
36,6478,NNK,Naknek Airport,"-157.02000427246, 58.732898712158",US-AK,na,na,na,na
37,6684,BKF,Lake Brooks Seaplane Base,"-155.77699279785, 58.554798126221",US-AK,na,na,na,na
38,6928,FOP,Fort Gillem Heliport,"-84.34639739990001, 33.6150016785",US-GA,na,na,na,na
39,6934,BCS,Southern Seaplane Airport,"-90.0222015381, 29.8661003113",US-LA,na,na,na,na
40,7170,SPQ,Catalina Air-Sea Terminal Heliport,"-118.275001526, 33.7491989136",US-CA,na,na,na,na
41,7376,TSS,East 34th Street Heliport,"-73.97209930419922, 40.74259948730469",US-NY,na,na,na,na
42,7378,QNY,New York Skyports Inc Seaplane Base,"-73.9729, 40.734001",US-NY,na,na,na,na
43,7457,BWL,Earl Henry Airport,"-97.3170013428, 36.7958984375",US-OK,na,na,na,na
44,7985,WYB,Yes Bay Lodge Seaplane Base,"-131.800994873, 55.9163017273",US-AK,na,na,na,na
45,8011,CWS,Center Island Airport,"-122.832000732, 48.4901008606",US-WA,na,na,na,na
46,8208,TEK,Tatitlek Airport,"-146.690297, 60.871449",US-AK,na,na,na,na
47,8307,DUF,Pine Island Airport,"-75.7884979248, 36.2535018921",US-NC,na,na,na,na
48,8497,SSW,Stuart Island Airpark,"-123.17600250244, 48.672901153564",US-WA,na,na,na,na
49,8615,FOB,Fort Bragg Airport,"-123.79599762, 39.4743003845",US-CA,na,na,na,na
50,8678,PUL,Port of Poulsbo Marina Moorage Seaplane Base,"-122.64700317383, 47.734001159668",US-WA,na,na,na,na
51,8693,CCD,Century City Heliport,"-118.417999268, 34.060798645",US-CA,na,na,na,na
52,8703,WMK,Meyers Chuck Seaplane Base,"-132.255004883, 55.7396011353",US-AK,na,na,na,na
53,8910,AXB,Maxson Airfield,"-75.90034, 44.312002",US-NY,na,na,na,na
54,9372,REE,Reese Airpark,"-102.03700256348, 33.590301513672",US-TX,na,na,na,na
